DESTINATION,SERVICE_NAME,RATING,WEIGHTAGE,COUNT,CATEGORY,CHECK_VALUE
"Mumbai, Maharashtra, India",Reach Airport,0,0,867,Attraction,0
"Mumbai, Maharashtra, India","restaurant,food",4.4,0,4583,Hotel,0
"Mumbai, Maharashtra, India","restaurant,food",4,0,4583,Hotel,0
"Goa, India",Calangute Beach,4.4,10,299,Attraction,13156
"Goa, India",Querim  beach,3.8,10,304,Attraction,11552
"Goa, India", Baga Beach,4.5,10,156,Attraction,7020
"Goa, India",Hotel Goan Heritage,4.1,10,7,Hotel,287
"Goa, India",8AM-12PM,0,1,535,Attraction,0
"Goa, India",4PM-8PM,0,1,535,Attraction,0
"Goa, India",0,0,3,3864,Attraction,0
"Goa, India",Leave Airport,0,0,3864,Attraction,0
"Goa, India",Reach Airport,0,0,867,Attraction,0
"Goa, India","bar,restaurant,food",4.2,0,159,Hotel,0
"Munnar, Kerala, India",Meghamalai,4.3,10,41,Attraction,1763
"Munnar, Kerala, India",futureservicedummy,0,0,2857,Attraction,0
"Munnar, Kerala, India",futureservicedummy,0,0,2857,Attraction,0
"Munnar, Kerala, India",8AM-12PM,0,1,535,Attraction,0
"Munnar, Kerala, India",4PM-8PM,0,1,535,Attraction,0
"Munnar, Kerala, India",0,0,3,3864,Attraction,0
"Munnar, Kerala, India",Leave Airport,0,0,3864,Attraction,0
"Munnar, Kerala, India",Reach Airport,0,0,867,Attraction,0
"Jaisalmer, Rajasthan, India",futureservicedummy,4.4,15,2857,Attraction,188562
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,14,2857,Attraction,171991.4
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,13,2857,Attraction,159706.3
"Jaisalmer, Rajasthan, India",8AM-12PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",4PM-8PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",0,0,3,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Leave Airport,0,0,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Reach Airport,0,0,867,Attraction,0
"Jaisalmer, Rajasthan, India",futureservicedummy,4.4,15,2857,Attraction,188562
"Jaisalmer, Rajasthan, India",Salim Singh ki Haveli,3.9,10,18,Attraction,702
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,14,2857,Attraction,171991.4
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,13,2857,Attraction,159706.3
"Jaisalmer, Rajasthan, India",Boating at Gadisar Lake,4.4,10,2,Attraction,88
"Jaisalmer, Rajasthan, India",Royal Bada Bagh,4.2,10,20,Attraction,840
"Jaisalmer, Rajasthan, India",futureservicedummy,0,0,2857,Attraction,0
"Jaisalmer, Rajasthan, India",8AM-12PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",4PM-8PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",0,0,3,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Leave Airport,0,0,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Reach Airport,0,0,867,Attraction,0
"Jaisalmer, Rajasthan, India","restaurant,food",4.2,0,4583,Hotel,0
"Mussoorie, Uttarakhand, India",Kempty Falls,4.2,10,230,Attraction,9660
"Mussoorie, Uttarakhand, India",Lal Tibba,4.3,10,229,Attraction,9847
"Mussoorie, Uttarakhand, India",Fortune Resort Grace,4.2,10,223,Hotel,9366
"Mussoorie, Uttarakhand, India",8AM-12PM,0,1,535,Attraction,0
"Mussoorie, Uttarakhand, India",4PM-8PM,0,1,535,Attraction,0
"Mussoorie, Uttarakhand, India",0,0,3,3864,Attraction,0
"Mussoorie, Uttarakhand, India",Leave Airport,0,0,3864,Attraction,0
"Mussoorie, Uttarakhand, India",Reach Airport,0,0,867,Attraction,0
"Mussoorie, Uttarakhand, India","restaurant,food",4.4,0,4583,Hotel,0
"Mcleodganj, Himachal Pradesh, India",St. John in the Wilderness Church,4.4,7,193,Attraction,5944.4
"Mcleodganj, Himachal Pradesh, India",Bhagsu Falls,4.4,10,241,Attraction,10604
"Mcleodganj, Himachal Pradesh, India",Dharamkot,0,9,238,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Namgyal Monastery,4.5,8,223,Attraction,8028
"Mcleodganj, Himachal Pradesh, India",Tsuglagkhang Complex,4.6,9,239,Attraction,9894.6
"Mcleodganj, Himachal Pradesh, India",Kangra Fort,4.4,8,194,Attraction,6828.8
"Mcleodganj, Himachal Pradesh, India",Norbulingka Institute,4.6,7,226,Attraction,7277.2
"Mcleodganj, Himachal Pradesh, India",Fortune Park Moksha,4.4,10,228,Hotel,10032
"Mcleodganj, Himachal Pradesh, India",8AM-12PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",4PM-8PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",0,0,3,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Leave Airport,0,0,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Reach Airport,0,0,867,Attraction,0
"Mcleodganj, Himachal Pradesh, India","restaurant,food",4.3,0,4583,Hotel,0
"Mussoorie, Uttarakhand, India",Kempty Falls,4.2,10,230,Attraction,9660
"Mussoorie, Uttarakhand, India",Lal Tibba,4.3,10,229,Attraction,9847
"Mussoorie, Uttarakhand, India",Fortune Resort Grace,4.2,10,223,Hotel,9366
"Mussoorie, Uttarakhand, India",8AM-12PM,0,1,535,Attraction,0
"Mussoorie, Uttarakhand, India",4PM-8PM,0,1,535,Attraction,0
"Mussoorie, Uttarakhand, India",0,0,3,3864,Attraction,0
"Mussoorie, Uttarakhand, India",Leave Airport,0,0,3864,Attraction,0
"Mussoorie, Uttarakhand, India",Reach Airport,0,0,867,Attraction,0
"Mussoorie, Uttarakhand, India","restaurant,food",4.4,0,4583,Hotel,0
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,13,2857,Attraction,159706.3
"Jaisalmer, Rajasthan, India",futureservicedummy,4.4,15,2857,Attraction,188562
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,14,2857,Attraction,171991.4
"Jaisalmer, Rajasthan, India",Royal Bada Bagh,4.2,10,20,Attraction,840
"Jaisalmer, Rajasthan, India",Hotel Desert Tulip,4.3,10,20,Hotel,860
"Jaisalmer, Rajasthan, India",8AM-12PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",4PM-8PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",0,0,3,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Leave Airport,0,0,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Reach Airport,0,0,867,Attraction,0
"Jaisalmer, Rajasthan, India","restaurant,food",4.5,0,4583,Hotel,0
"Mcleodganj, Himachal Pradesh, India",Bhagsu Falls,4.4,10,241,Attraction,10604
"Mcleodganj, Himachal Pradesh, India",Dharamkot,0,9,238,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Tsuglagkhang Complex,4.6,9,239,Attraction,9894.6
"Mcleodganj, Himachal Pradesh, India",Norbulingka Institute,4.6,9,226,Attraction,9356.4
"Mcleodganj, Himachal Pradesh, India",Namgyal Monastery,4.5,8,223,Attraction,8028
"Mcleodganj, Himachal Pradesh, India",Fortune Park Moksha,4.4,9,228,Hotel,9028.8
"Mcleodganj, Himachal Pradesh, India",8AM-12PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",4PM-8PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",0,0,3,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Leave Airport,0,0,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Reach Airport,0,0,867,Attraction,0
"Mcleodganj, Himachal Pradesh, India","restaurant,food",4.3,0,4583,Hotel,0
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,13,2857,Attraction,159706.3
"Jaisalmer, Rajasthan, India",futureservicedummy,4.4,15,2857,Attraction,188562
"Jaisalmer, Rajasthan, India",futureservicedummy,4.3,14,2857,Attraction,171991.4
"Jaisalmer, Rajasthan, India",Royal Bada Bagh,4.2,10,20,Attraction,840
"Jaisalmer, Rajasthan, India",Hotel Desert Tulip,4.3,10,20,Hotel,860
"Jaisalmer, Rajasthan, India",8AM-12PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",4PM-8PM,0,1,535,Attraction,0
"Jaisalmer, Rajasthan, India",0,0,3,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Leave Airport,0,0,3864,Attraction,0
"Jaisalmer, Rajasthan, India",Reach Airport,0,0,867,Attraction,0
"Jaisalmer, Rajasthan, India","restaurant,food",4.5,0,4583,Hotel,0
"Mcleodganj, Himachal Pradesh, India",Bhagsu Falls,4.4,10,241,Attraction,10604
"Mcleodganj, Himachal Pradesh, India",Dharamkot,0,9,238,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Tsuglagkhang Complex,4.6,9,239,Attraction,9894.6
"Mcleodganj, Himachal Pradesh, India",Norbulingka Institute,4.6,9,226,Attraction,9356.4
"Mcleodganj, Himachal Pradesh, India",Namgyal Monastery,4.5,8,223,Attraction,8028
"Mcleodganj, Himachal Pradesh, India",Fortune Park Moksha,4.4,9,228,Hotel,9028.8
"Mcleodganj, Himachal Pradesh, India",8AM-12PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",4PM-8PM,0,1,535,Attraction,0
"Mcleodganj, Himachal Pradesh, India",0,0,3,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Leave Airport,0,0,3864,Attraction,0
"Mcleodganj, Himachal Pradesh, India",Reach Airport,0,0,867,Attraction,0
"Mcleodganj, Himachal Pradesh, India","restaurant,food",4.3,0,4583,Hotel,0
"Goa, India",Majorda beach ,4.5,10,157,Attraction,7065
"Goa, India",Miramar Beach,4.5,10,6,Attraction,270
"Goa, India",Querim  beach,3.8,10,304,Attraction,11552
"Goa, India",8AM-12PM,0,1,535,Attraction,0
"Goa, India",4PM-8PM,0,1,535,Attraction,0
"Goa, India",0,0,3,3864,Attraction,0
"Goa, India",Leave Airport,0,0,3864,Attraction,0
"Goa, India",Reach Airport,0,0,867,Attraction,0
"Goa, India","restaurant,bar,food",4.5,0,240,Hotel,0
"Goa, India",Majorda beach ,4.5,10,157,Attraction,7065
"Goa, India",Miramar Beach,4.5,10,6,Attraction,270
"Goa, India",Querim  beach,3.8,10,304,Attraction,11552
"Goa, India",8AM-12PM,0,1,535,Attraction,0
"Goa, India",4PM-8PM,0,1,535,Attraction,0
"Goa, India",0,0,3,3864,Attraction,0
"Goa, India",Leave Airport,0,0,3864,Attraction,0
"Goa, India",Reach Airport,0,0,867,Attraction,0
"Goa, India","restaurant,bar,food",4.5,0,240,Hotel,0
"Munnar, Kerala, India",Meghamalai,4.3,10,41,Attraction,1763
